id;channel;auto_pay_id;debit_date;status;created_date;created_by;updated_date;updated_by;customer_id
1;teal extensible Producer;80566;2021-07-13T00:03:23;Car;2021-07-13T01:59:13;Brand supply-chains;2021-07-12T17:36:10;compressing front-end Bosnia;46553
2;Buckinghamshire mindshare;20439;2021-07-13T12:21:28;e-tailers Market;2021-07-13T06:51:15;Loan Borders;2021-07-13T14:12:10;Devolved compressing District;29483
3;withdrawal;10402;2021-07-12T22:29:30;generating;2021-07-12T20:18:37;optimal Generic;2021-07-13T11:42:28;Fort;55534
4;Plastic bandwidth gold;84563;2021-07-12T22:16:59;Green;2021-07-13T07:17:50;Euro iterate;2021-07-13T00:33:45;time-frame Metal Iowa;30244
5;1080p deliver;74384;2021-07-13T13:38:36;visionary distributed;2021-07-13T10:26:18;AI monitor strategize;2021-07-13T05:22:27;impactful;65594
6;South Delaware state;38808;2021-07-13T05:15:01;Uruguay;2021-07-13T06:09:03;Generic Clothing;2021-07-13T04:22:02;Credit Chief;90794
7;Investor Designer;73520;2021-07-12T16:08:35;navigate;2021-07-13T00:55:06;Fundamental driver Bahamas;2021-07-13T04:52:38;copying Kids;21622
8;wireless Montana;58943;2021-07-13T02:20:11;United overriding Wooden;2021-07-12T19:43:46;transmitting Investment lavender;2021-07-13T04:53:48;Baby silver Bacon;98692
9;indexing;33606;2021-07-12T23:32:29;Soft Ouguiya Cotton;2021-07-13T02:21:13;Supervisor aggregate Sweden;2021-07-13T08:03:40;user-facing array Platinum;49235
10;Keyboard;61651;2021-07-13T01:18:31;Leone ubiquitous;2021-07-12T18:21:31;Digitized copying bricks-and-clicks;2021-07-13T15:24:44;Frozen synthesize Fully-configurable;76925
