id;amount_due;bill_date;bill_no;billing_period;category;href;last_updated_date;next_updated_date;payment_due_date;state;tax_excluded_amount;tax_included_amount;customer_id
1;67342;2021-07-13T00:28:59;58318;2021-07-12T23:06:21;Pound Regional redundant;input;2021-07-13T00:50:32;2021-07-12T22:13:37;2021-07-13T08:17:22;Sausages disintermediate Handcrafted;68842;34241;72612
2;8545;2021-07-12T19:12:15;80796;2021-07-13T00:35:04;extensible Multi-channelled;Kansas Metrics dedicated;2021-07-12T18:31:33;2021-07-13T04:02:06;2021-07-13T08:12:00;Ghana Missouri up;33511;1272;65060
3;57355;2021-07-13T11:00:14;90015;2021-07-13T13:52:17;Reduced Buckinghamshire Switchable;SQL Gorgeous;2021-07-12T20:28:33;2021-07-12T22:19:25;2021-07-13T04:51:12;Frozen grey;32730;82891;71959
4;4474;2021-07-13T11:09:48;75082;2021-07-12T19:15:43;Car Integration deposit;interface wireless;2021-07-13T01:29:15;2021-07-13T01:45:34;2021-07-13T00:56:52;Rubber Games;30217;58307;64970
5;54475;2021-07-12T17:41:35;87111;2021-07-12T19:30:30;Granite Personal payment;Specialist Guyana;2021-07-13T07:17:27;2021-07-13T00:08:08;2021-07-13T08:07:13;alarm;97713;12866;43063
6;30781;2021-07-12T23:23:41;67836;2021-07-12T21:55:30;Checking monetize;haptic panel;2021-07-13T08:05:35;2021-07-13T08:01:59;2021-07-12T19:50:05;Rustic;29803;6924;69015
7;72218;2021-07-12T20:38:19;38084;2021-07-12T18:27:59;Ridges;override connect solution-oriented;2021-07-12T21:10:20;2021-07-13T10:49:53;2021-07-12T19:41:32;azure;4873;7914;13724
8;419;2021-07-12T17:27:32;18475;2021-07-12T23:18:50;Sausages;Intranet GB hacking;2021-07-13T03:36:47;2021-07-12T18:57:42;2021-07-12T21:48:13;Mississippi Chief;2019;99943;83700
9;65252;2021-07-13T00:03:57;81448;2021-07-13T03:57:23;Pakistan;leading;2021-07-13T09:49:14;2021-07-13T06:27:01;2021-07-12T21:19:12;1080p;87940;53634;442
10;1497;2021-07-13T07:58:56;57114;2021-07-12T21:04:37;wireless Books;deposit Manager;2021-07-13T02:01:37;2021-07-13T14:17:10;2021-07-12T21:08:25;indigo;89259;13119;83068
