id;name;value;valuetype;customer_id
1;Research;Granite;Tennessee Loan Wooden;31071
2;Technician Lebanese Peso;salmon yellow Guatemala;Savings Dynamic black;79634
3;Concrete Loan;dynamic Sports synthesizing;backing Nevada Soft;73699
4;Sleek unleash gold;Summit Configurable monitor;copying;88275
5;Automotive zero;Automotive;Total Account;72975
6;revolutionize Hampshire e-business;experiences parse;Nevada scalable;2543
7;optical leading indexing;Sports;primary;77903
8;invoice Metal;Concrete Designer;RSS;28180
9;architect Wisconsin;Ghana Integrated;Customer;38691
10;quantifying Bacon;Tunnel;AGP;73678
