id;customer_notification_id;role;status;customer_id
1;Operations bandwidth web-readiness;CSS SQL Landing;Sleek transmitting calculating;50934
2;multi-byte Intranet;Israeli;Nebraska;27168
3;blue firewall Practical;neutral;Frozen;63924
4;grey Computer Pine;bottom-line XSS Ergonomic;deposit;86928
5;copying Licensed;Fundamental Market;Baby Investor Bedfordshire;80610
6;Cotton ADP primary;payment Gorgeous PCI;engineer turn-key Representative;90314
7;Web Books;context-sensitive Handcrafted calculate;Salad;19441
8;blockchains Beauty national;Chief Account;violet installation;60745
9;system program;Buckinghamshire protocol;Avenue Bedfordshire;64099
10;Consultant programming;Steel Avon Bedfordshire;China Handmade Hryvnia;94997
