id;name;description;preferred;type;valid_from;valid_to;customer_id
1;Investment;Nicaragua pink Hawaii;true;Chips Investment;2021-07-13T15:09:41;2021-07-13T09:51:57;15169
2;Square Clothing pixel;Burg;true;Kids Associate;2021-07-13T04:32:41;2021-07-13T02:30:15;77021
3;withdrawal Dynamic;parsing 1080p Steel;false;Borders Customer;2021-07-13T01:27:18;2021-07-13T14:13:25;5882
4;Kazakhstan;Delaware Card;true;connecting Texas;2021-07-12T23:01:28;2021-07-12T16:20:32;81181
5;Specialist Ohio;web-enabled;false;Mozambique Market;2021-07-13T09:21:59;2021-07-13T11:42:35;10970
6;intuitive Chips Island;capacitor;false;Lilangeni Practical;2021-07-12T22:33:35;2021-07-12T19:39:06;57916
7;Agent Georgia parsing;Graphic navigating;true;Representative frame strategic;2021-07-12T22:09:56;2021-07-12T19:31:37;81891
8;Sleek;program;true;override;2021-07-13T00:04:04;2021-07-13T07:45:32;61715
9;bandwidth EXE;alarm;false;Officer;2021-07-13T07:08:08;2021-07-13T15:01:02;10170
10;Buckinghamshire RAM;haptic Namibia Mobility;false;Lead;2021-07-13T14:55:32;2021-07-13T01:47:28;54085
