id;name;value;valuetype;customer_id
1;Tasty;Steel Automotive;Berkshire;68043
2;Account;Cotton Incredible;Sausages quantifying Chicken;21498
3;asynchronous Virginia;bandwidth;web-readiness;60556
4;deposit copying;web bypassing;Tuna Dollar Director;79037
5;Handcrafted;up South Prairie;Bahrain Reverse-engineered;42878
6;solutions;Loan withdrawal;salmon Developer middleware;91218
7;Armenian Franc;Ergonomic virtual;Industrial Garden Tasty;36207
8;invoice networks Fish;Cambridgeshire back Plain;Seamless Mobility deposit;395
9;to;Kids object-oriented;green SDD;44197
10;bifurcated payment Nebraska;Functionality Kitts Investor;Baby bandwidth;24234
