id;name;role_id;individual_id;valid_from;valid_to;customer_id
1;Taka;9575;74445;2021-07-12T17:08:33;2021-07-13T07:37:35;13479
2;Norway open-source collaborative;49525;83397;2021-07-12T19:39:59;2021-07-13T10:06:45;65059
3;Wooden Solutions hybrid;18846;53152;2021-07-12T22:40:09;2021-07-13T14:59:43;56408
4;Cambridgeshire neural Kids;64717;74024;2021-07-12T23:41:59;2021-07-12T23:32:35;70372
5;Branding withdrawal Cloned;12179;67372;2021-07-12T18:31:26;2021-07-13T06:57:22;93331
6;deposit Intelligent Credit;70874;60212;2021-07-13T04:43:00;2021-07-13T08:25:02;69465
7;policy Montenegro;74793;2476;2021-07-13T10:49:37;2021-07-13T09:14:06;41987
8;invoice;48362;80195;2021-07-12T21:54:08;2021-07-13T01:48:04;65219
9;Plastic contingency;83805;49147;2021-07-12T21:20:07;2021-07-13T00:01:28;35255
10;Toys deposit Stravenue;36072;89386;2021-07-13T14:20:34;2021-07-13T00:24:46;34931
