id;name;value;valuetype;customer_id
1;Supervisor Concrete Andorra;deposit;Chicken Forge;41759
2;quantifying feed;compress SSL;Down-sized neural Plastic;56212
3;Account;Michigan grid-enabled Computer;Multi-tiered plug-and-play Krone;47728
4;Books;ROI RSS Towels;withdrawal Product;45172
5;Fresh TCP XSS;Synergistic;strategy payment invoice;37367
6;Cambridgeshire;Garden Islands Chief;Chicken;23730
7;radical Barbados;sticky Idaho green;vortals Buckinghamshire;31891
8;Cotton Investor Baby;Account Security sexy;Kiribati;2187
9;Loan Rustic;silver Rufiyaa;Business-focused magnetic;79640
10;non-volatile Heights Buckinghamshire;payment orchid;Cross-platform;67820
