id;name;value;valuetype;customer_id
1;Human Account Licensed;Awesome;up directional responsive;57097
2;Shoes online;Ruble eyeballs Berkshire;generation Island Account;8719
3;Streamlined connecting;Colombia digital Product;Kwacha withdrawal;65778
4;Home generating;input;Awesome Small;53306
5;evolve Coordinator;Infrastructure Awesome;Assistant;67462
6;Forward Pre-emptive approach;Generic open-source envisioneer;THX;36463
7;Synergized CSS transmitter;virtual Chair;Dollar;40497
8;open-source Virtual drive;mobile Generic;Maine Dinar;20629
9;Frozen;Refined;panel invoice;65294
10;Ports Handmade Tennessee;SCSI;transition;15782
