id;name;department_head;status;individual_id
1;Virtual;wireless bus Tools;global groupware;24710
2;open-source;CFA;Tasty;84264
3;Granite Cloned;generate parsing Borders;Account Fully-configurable;5921
4;open-source Won;Granite Concrete Unbranded;distributed;22423
5;Executive override bypassing;withdrawal;Computer;72318
6;Identity;1080p Steel;azure;89173
7;multi-byte;Account mint;asynchronous Card;75802
8;model;Fish USB RAM;Berkshire quantifying Sausages;21172
9;Generic;Fundamental matrix Lithuania;Baby;86236
10;salmon;streamline;program Rial;18049
