id;name;activity;created_date;customer_id;individual_id
1;bluetooth turn-key Practical;mission-critical;2021-07-13T13:05:49;29145;72829
2;parse Rustic bypass;niches alarm compelling;2021-07-13T01:58:24;33548;82698
3;monetize Computer;Florida CSS;2021-07-12T19:20:39;2553;424
4;synthesizing;capacitor Rubber withdrawal;2021-07-13T15:30:30;37469;78508
5;Centralized;withdrawal;2021-07-12T16:20:03;89076;75783
6;withdrawal;invoice violet;2021-07-13T06:57:29;37868;98250
7;Coordinator;Beauty array Cotton;2021-07-12T22:43:11;49595;52445
8;transmitter;Implemented help-desk;2021-07-13T10:42:55;82156;1551
9;Assistant;interface;2021-07-12T21:35:47;77720;74775
10;wireless Jewelery;deposit;2021-07-13T07:23:49;69442;76640
