id;name;activity;customer_id;individual_id;created_date
1;HTTP;Plaza;78890;6100;2021-07-12T16:13:15
2;SSL Fantastic Directives;Bike program;2141;31167;2021-07-13T02:20:46
3;Well distributed indigo;Berkshire;62284;93696;2021-07-13T07:35:44
4;Personal;Soft;41025;39854;2021-07-12T21:50:02
5;reintermediate Data Bedfordshire;Generic Account Jewelery;41258;68074;2021-07-12T15:48:30
6;Rwanda Zealand;Island Planner;82282;64514;2021-07-13T07:00:56
7;Won;Plastic;43978;14819;2021-07-12T22:31:40
8;Gloves Lodge Bacon;Avenue lime;30913;7559;2021-07-13T03:21:08
9;technologies British Borders;connecting Incredible;58834;70386;2021-07-13T10:26:54
10;Fish Tunnel;Orchestrator Quality;90191;40216;2021-07-13T14:23:23
