id;preferred;type;valid_from;valid_to;individual_id
1;Facilitator;user Solomon;2021-07-13T11:25:52;2021-07-13T02:46:30;93211
2;driver Trafficway unleash;methodical Health;2021-07-12T19:46:10;2021-07-12T21:16:50;93079
3;Director Markets;Hawaii;2021-07-13T00:15:36;2021-07-13T01:16:31;6988
4;Director;pixel;2021-07-12T23:19:29;2021-07-13T05:38:43;31860
5;compress full-range Tennessee;Liaison;2021-07-13T06:04:13;2021-07-13T05:27:59;39081
6;Outdoors;Washington cyan grey;2021-07-13T02:38:54;2021-07-13T04:29:42;97014
7;Minnesota port Dong;frame bypass Account;2021-07-13T07:30:38;2021-07-13T15:15:36;63600
8;Customer markets;navigating Practical El;2021-07-13T00:50:40;2021-07-12T17:57:45;21703
9;turquoise Group;Plastic Awesome Product;2021-07-13T07:57:24;2021-07-13T11:02:47;8531
10;Plastic Handcrafted Architect;Web;2021-07-13T12:07:26;2021-07-13T09:59:11;47539
