id;name;code;description
1;array;SMS;benchmark ivory Computers
2;Washington Persistent;navigate;target Sports Proactive
3;Small Computer;non-volatile methodologies Metal;channels Ergonomic deposit
4;Awesome;Croatian;Chicken Administrator
5;Checking;Pants Human Frozen;Tasty Buckinghamshire
6;calculating feed invoice;payment communities;leverage quantify Solutions
7;Zimbabwe Brunei mesh;Maryland;Bedfordshire Rhode
8;Incredible;24/365 Handmade iterate;Franc Branding strategy
9;Maryland Decentralized Lane;Generic;Stream model
10;Berkshire Directives Research;teal Rupiah bus;Indiana intuitive Berkshire
