id;new_letter_type;display_value;description;status
1;Berkshire Mexico;content;Gorgeous;Granite card Guinea
2;Planner;Steel pixel;Qatari driver Extensions;mint
3;SQL Loan;Fresh;Fresh Gorgeous;neural Rustic up
4;neural teal Avon;action-items;Research;Executive navigate overriding
5;programming;Toys Forint;program;deploy
6;Licensed Route Account;Rustic Table;Arkansas Lebanon Communications;Keyboard Berkshire
7;distributed;deposit Proactive;Baht Metal Designer;Checking orchid Plastic
8;Inlet Mills;niches;Facilitator Oklahoma;Frozen bypassing
9;yellow;Zloty;invoice neural bandwidth;hub calculating
10;port deposit;green compressing;York optimal;rich Ergonomic
