id;name;value;value_type;created_by;created_date
1;Extension;Usability Frozen;Account;e-enable Bangladesh;2021-07-13T08:56:34
2;synthesize Facilitator;Fresh TCP Analyst;back-end Massachusetts;invoice Metal;2021-07-12T17:29:47
3;experiences;Gorgeous Internal;neural;matrix SDD cutting-edge;2021-07-13T09:47:06
4;Account;workforce Moldovan;Tactics Quality-focused;Corporate Clothing Centers;2021-07-12T19:40:24
5;Borders Salad Executive;Steel wireless solution;Gloves Beauty Developer;Avon Multi-channelled Investment;2021-07-12T11:15:29
6;experiences National Jewelery;Plastic encoding;New AGP Bedfordshire;panel reboot;2021-07-13T09:36:56
7;Concrete Shoes;Buckinghamshire International;copy;USB Refined;2021-07-12T15:21:05
8;Identity;Frozen payment;static visionary Cheese;leading-edge;2021-07-12T17:39:11
9;back-end Division;Bedfordshire Botswana standardization;deposit functionalities;Berkshire;2021-07-12T15:10:27
10;Cotton Fresh;responsive;Licensed one-to-one;Incredible e-business;2021-07-13T02:31:43
