id;name;value;value_type;created_by;created_date
1;magenta Soap;visionary Mountains;project Specialist Lead;withdrawal Investment invoice;2021-07-12T14:28:28
2;Centers;CSS dynamic;programming SAS blue;Bedfordshire contextually-based Mouse;2021-07-12T14:11:50
3;Belgium Designer Rustic;intuitive invoice;National;Account Soft;2021-07-13T11:11:50
4;Pizza Fantastic;Forward Granite Dam;Table;Russian;2021-07-12T16:47:44
5;quantifying eyeballs Mountains;platforms deposit;Florida Branch Fish;Fuerte;2021-07-13T01:06:54
6;Rustic budgetary;Dollar auxiliary;Hampshire indexing;Games budgetary Louisiana;2021-07-13T04:12:55
7;Intelligent;monitor;SMS Central;Tuna;2021-07-12T11:18:04
8;India index quantifying;functionalities;Account protocol;Engineer defect Loan;2021-07-12T15:26:21
9;local pixel;payment Road;cross-platform Vermont;Small;2021-07-13T06:42:27
10;CSS Horizontal Kentucky;Product;bypassing Bacon Berkshire;District whiteboard;2021-07-12T14:47:57
