id;author;text;created_date
1;Salad transparent Bedfordshire;Cheese aggregate;2021-07-13T07:40:04
2;Officer Afghanistan Cheese;Paradigm Orchestrator;2021-07-12T17:21:57
3;Frozen Bedfordshire;Buckinghamshire copy;2021-07-13T11:04:54
4;Dirham bus wireless;Computers e-business;2021-07-12T17:56:07
5;throughput copying cross-platform;Industrial e-tailers;2021-07-12T22:49:41
6;Generic Reduced deposit;Facilitator Licensed;2021-07-12T11:16:16
7;Key;parsing FTP;2021-07-12T18:18:55
8;unleash;repurpose Soft Home;2021-07-12T19:29:52
9;New;North payment killer;2021-07-12T17:29:09
10;multi-byte;Personal Principal;2021-07-12T21:46:25
