id;name;value;value_type;created_by;created_date
1;Pound withdrawal;lime Mandatory;platforms Nepal;metrics;2021-07-12T22:31:30
2;Mandatory matrix;Bedfordshire Automotive;Venezuela invoice;panel primary;2021-07-12T22:23:17
3;eco-centric Suriname Designer;Shoes;global Markets Legacy;Sausages Wooden Home;2021-07-13T04:23:17
4;e-enable indexing;AGP;Frozen Principal;Garden Soft time-frame;2021-07-12T20:50:34
5;sticky incentivize e-tailers;Sum;SMS 1080p;Analyst Hill;2021-07-13T00:38:15
6;User-friendly;Home;withdrawal;systems Sausages quantify;2021-07-12T15:06:08
7;Data;e-commerce up;Engineer;focus Object-based;2021-07-13T06:28:22
8;approach;content;XML;Wooden magenta Chief;2021-07-13T10:32:22
9;Gambia;Small Human Berkshire;lime;needs-based;2021-07-13T03:29:56
10;Wall;Shoes;metrics channels gold;Canyon;2021-07-12T16:05:31
