id;href;shopping_session_id;status;created_date;session_abondoned;customer_id;channel;individual_id
1;frictionless;63158;Right-sized;2021-07-13T09:13:47;false;33845;incremental;75911
2;salmon Oregon;371;Arab Steel Cambridgeshire;2021-07-13T13:01:51;true;69504;Solutions bus;53876
3;action-items;91884;Passage Sleek Estonia;2021-07-13T14:13:18;true;9520;indexing extend Beauty;2955
4;Monitored regional Grocery;88793;synthesize Auto Yemen;2021-07-12T20:34:54;true;21335;withdrawal Zambian;36497
5;solution port;88805;firewall Account applications;2021-07-13T15:40:29;false;94216;Developer;39880
6;interfaces Jersey Refined;72171;Alabama;2021-07-12T23:22:00;true;76349;Loan Handcrafted Account;95346
7;panel Pizza;73048;whiteboard;2021-07-13T01:27:01;true;54420;navigating Fresh up;63519
8;Streamlined Latvian;19497;Gardens Paradigm definition;2021-07-12T22:56:54;false;50354;invoice transition;89043
9;Facilitator connecting;45478;Investment purple Suriname;2021-07-12T18:26:14;false;58452;Incredible Books;6119
10;Ariary;12399;Yemen Investor Italy;2021-07-12T22:57:51;true;33203;HDD Loan PNG;24853
